test_perm	test_pval	test_score	train_score	auc_prob	auc_pred	r2	tn	fp	fn	tp	fold	gen	model	subset
0.4993	0.00399	0.54731	0.57847	0.54731	0.52529	-8.75971	1673	1503	40	44	3	m	lda	top5
0.50085	0.002	0.55489	0.57668	0.55489	0.51655	-8.74728	2109	1067	53	31	3	m	lda	top5
0.50133	0.00798	0.53969	0.57231	0.53969	0.54754	-8.65148	2079	1097	47	37	3	m	lda	top5
0.49928	0.00399	0.5487	0.58336	0.5487	0.53952	-8.7356	1839	1337	42	42	3	m	lda	top5
0.5008	0.002	0.56149	0.56606	0.56149	0.54824	-8.71928	1781	1395	39	45	3	m	lda	top5
0.49936	0.01796	0.53947	0.58773	0.53947	0.53511	-8.76055	1811	1365	42	42	3	m	lda	top5
0.49951	0.02196	0.53314	0.59255	0.53314	0.53854	-8.83314	1795	1381	41	43	3	m	lda	top5
0.50013	0.00998	0.53594	0.60324	0.53594	0.55825	-8.72249	1958	1218	42	42	3	m	lda	top5
0.50056	0.002	0.55978	0.58892	0.55978	0.54859	-8.81881	1821	1355	40	44	3	m	lda	top5
0.49933	0.002	0.55068	0.59498	0.55068	0.56014	-8.72442	1970	1206	42	42	3	m	lda	top5
0.49926	0.00599	0.53931	0.58755	0.53931	0.53689	-8.69809	2087	1089	49	35	3	m	lda	top5
0.49916	0.00399	0.54317	0.55219	0.54317	0.55973	-8.71237	1854	1322	39	45	3	m	lda	top5
0.49979	0.00599	0.53983	0.58205	0.53983	0.53457	-8.70604	1921	1255	45	39	3	m	lda	top5
0.50013	0.002	0.55871	0.59484	0.55871	0.55281	-8.71138	1810	1366	39	45	3	m	lda	top5
0.49985	0.00599	0.54431	0.57059	0.54431	0.53838	-8.70823	1794	1382	41	43	3	m	lda	top5
0.50095	0.00399	0.54691	0.59077	0.54691	0.54248	-8.83098	1820	1356	41	43	3	m	lda	top5
0.50032	0.002	0.55649	0.57009	0.55649	0.54232	-8.71816	1819	1357	41	43	3	m	lda	top5
0.50133	0.00399	0.54835	0.59521	0.54835	0.53381	-8.72472	1954	1222	46	38	3	m	lda	top5
0.50081	0.0499	0.52969	0.59726	0.52969	0.52468	-8.84921	1896	1280	46	38	3	m	lda	top5
0.49944	0.002	0.58608	0.57547	0.58607	0.56733	-8.97095	2112	1065	44	39	0	m	lrc	top5
0.50032	0.002	0.55119	0.59045	0.55146	0.55511	-9.08424	1843	1334	39	44	0	m	lrc	top5
0.50101	0.00599	0.5477	0.57619	0.5477	0.55098	-8.97106	1855	1322	40	43	0	m	lrc	top5
0.49939	0.002	0.56123	0.59323	0.56122	0.57166	-9.08696	1795	1382	35	48	0	m	lrc	top5
0.50027	0.002	0.56535	0.58634	0.56541	0.57011	-8.97166	1900	1277	38	45	0	m	lrc	top5
0.49966	0.002	0.59351	0.5679	0.59351	0.58843	-8.95663	2093	1084	40	43	0	m	lrc	top5
0.49968	0.002	0.5797	0.56289	0.5797	0.55477	-9.0103	1726	1451	36	47	0	m	lrc	top5
0.50021	0.00599	0.54445	0.6078	0.54445	0.53151	-9.13107	1693	1484	39	44	0	m	lrc	top5
0.49934	0.002	0.59265	0.58679	0.59238	0.57646	-8.99982	1749	1428	33	50	0	m	lrc	top5
0.50041	0.002	0.57885	0.57888	0.57885	0.56356	-8.94605	1667	1510	33	50	0	m	lrc	top5
0.4999	0.00399	0.55465	0.57177	0.55465	0.55567	-8.93394	1770	1407	37	46	0	m	lrc	top5
0.49926	0.002	0.56302	0.57958	0.56302	0.59189	-8.95019	1847	1330	33	50	0	m	lrc	top5
0.50028	0.002	0.58187	0.55671	0.58187	0.56649	-8.92641	1877	1300	38	45	0	m	lrc	top5
