,test_perm,test_pval,test_score,train_score,auc_prob,auc_pred,r2,tn,fp,fn,tp,fold,gen,model,subset
2,0.50135,0.02794,0.5305,0.64979,0.5305,0.51256,-9.32486,1630,1546,41,43,3,m,lda,top29
3,0.50006,0.002,0.55852,0.6486,0.55852,0.52912,-8.94015,1773,1403,42,42,3,m,lda,top29
4,0.49947,0.002,0.56238,0.6599,0.56238,0.56229,-9.21488,1719,1457,35,49,3,m,lda,top29
5,0.49938,0.002,0.57413,0.64174,0.57413,0.5724,-8.75752,1821,1355,36,48,3,m,lda,top29
6,0.49894,0.002,0.60953,0.62741,0.60953,0.58821,-8.77128,1808,1368,33,51,3,m,lda,top29
7,0.49954,0.002,0.56828,0.64949,0.56828,0.54648,-9.05118,1732,1444,38,46,3,m,lda,top29
8,0.50073,0.002,0.57071,0.63488,0.57071,0.549,-8.95045,1748,1428,38,46,3,m,lda,top29
9,0.5012,0.002,0.58011,0.65396,0.58011,0.52456,-9.15317,1744,1432,42,42,3,m,lda,top29
10,0.49909,0.002,0.56386,0.64522,0.56386,0.56065,-8.85605,1822,1354,38,46,3,m,lda,top29
11,0.50012,0.00599,0.54914,0.64511,0.54914,0.53363,-9.0763,1726,1450,40,44,3,m,lda,top29
12,0.49918,0.002,0.57818,0.63301,0.57818,0.57029,-9.05139,1732,1444,34,50,3,m,lda,top29
13,0.49942,0.002,0.55128,0.63187,0.55128,0.545,-8.69793,1836,1340,41,43,3,m,lda,top29
14,0.50061,0.01397,0.54046,0.63404,0.54046,0.52852,-8.86525,1807,1369,43,41,3,m,lda,top29
15,0.50166,0.00399,0.53958,0.63683,0.53958,0.52194,-8.75173,1803,1373,44,40,3,m,lda,top29
16,0.49977,0.002,0.56204,0.61627,0.56204,0.54547,-8.72981,1839,1337,41,43,3,m,lda,top29
17,0.50043,0.002,0.58436,0.64017,0.58436,0.561,-9.1414,1673,1503,34,50,3,m,lda,top29
18,0.49944,0.002,0.56195,0.65489,0.56195,0.54021,-9.03963,1730,1446,39,45,3,m,lda,top29
19,0.50175,0.002,0.56979,0.62477,0.56979,0.56676,-8.74395,1823,1353,37,47,3,m,lda,top29
0,0.50025,0.77445,0.48755,0.60958,0.48755,0.50273,-9.31048,1625,1552,42,41,0,f,lda,top29
1,0.49832,0.74251,0.48648,0.60435,0.48648,0.47765,-9.12453,1657,1520,47,36,0,f,lda,top29
2,0.49971,0.68263,0.49192,0.60461,0.49192,0.47612,-9.3001,1609,1568,46,37,0,f,lda,top29
3,0.49977,1.0,0.4494,0.60441,0.4494,0.47517,-9.33769,1603,1574,46,37,0,f,lda,top29
4,0.49976,0.81437,0.4847,0.63587,0.4847,0.48286,-9.69006,1537,1640,43,40,0,f,lda,top29
5,0.50008,0.81836,0.48553,0.61555,0.48553,0.46953,-9.33969,1682,1495,49,34,0,f,lda,top29
6,0.49979,0.83433,0.48372,0.60957,0.48372,0.4847,-9.43996,1587,1590,44,39,0,f,lda,top29
7,0.49958,0.17764,0.51596,0.59962,0.51596,0.53836,-9.11297,1660,1517,37,46,0,f,lda,top29
8,0.49891,0.9501,0.47104,0.62409,0.47104,0.47052,-9.34637,1650,1527,48,35,0,f,lda,top29
9,0.49914,0.83832,0.48331,0.61122,0.48331,0.48077,-9.4548,1562,1615,44,39,0,f,lda,top29
10,0.50032,0.71856,0.49061,0.61356,0.49061,0.48246,-9.47482,1611,1566,45,38,0,f,lda,top29
11,0.50019,0.33533,0.50696,0.59866,0.50696,0.52438,-9.16237,1686,1491,40,43,0,f,lda,top29
12,0.50111,0.37924,0.50656,0.61432,0.50656,0.51253,-9.2935,1649,1528,41,42,0,f,lda,top29
13,0.50073,0.44112,0.5036,0.61224,0.5036,0.52568,-9.31087,1656,1521,39,44,0,f,lda,top29
14,0.5002,0.65269,0.4929,0.60121,0.4929,0.48156,-9.22769,1567,1610,44,39,0,f,lda,top29
15,0.50001,0.78443,0.48947,0.60146,0.48947,0.48792,-9.23789,1684,1493,46,37,0,f,lda,top29
16,0.49967,0.42515,0.50345,0.59025,0.50345,0.47477,-9.18687,1677,1500,48,35,0,f,lda,top29
17,0.49966,0.79641,0.48654,0.60467,0.48654,0.48742,-9.39828,1566,1611,43,40,0,f,lda,top29
18,0.49935,0.7505,0.48826,0.60018,0.48826,0.48603,-9.14669,1672,1505,46,37,0,f,lda,top29
19,0.50107,0.98603,0.46283,0.5791,0.46283,0.47162,-9.15463,1657,1520,48,35,0,f,lda,top29
0,0.49965,0.13174,0.51877,0.68736,0.51877,0.52185,-9.63163,1689,1487,41,43,4,combine,lda,top29
1,0.50123,0.04591,0.53035,0.69444,0.53035,0.52544,-9.80282,1674,1502,40,44,4,combine,lda,top29
2,0.50063,0.81038,0.48554,0.69141,0.48554,0.48535,-9.62694,1684,1492,47,37,4,combine,lda,top29
3,0.4994,0.38723,0.50511,0.68401,0.50511,0.49139,-9.18842,1798,1378,49,35,4,combine,lda,top29
4,0.49927,0.002,0.55493,0.67345,0.55493,0.54245,-9.20953,1782,1394,40,44,4,combine,lda,top29
5,0.50025,0.02994,0.53318,0.69872,0.53318,0.52361,-9.49126,1738,1438,42,42,4,combine,lda,top29
6,0.49995,0.02595,0.53163,0.70142,0.53163,0.52566,-9.41724,1751,1425,42,42,4,combine,lda,top29
7,0.50042,0.01397,0.53892,0.67679,0.53892,0.51656,-9.45301,1731,1445,43,41,4,combine,lda,top29
8,0.50026,0.72655,0.4903,0.71286,0.4903,0.46138,-10.07141,1683,1493,51,33,4,combine,lda,top29
9,0.50184,0.07784,0.52339,0.71832,0.52339,0.54053,-9.82317,1732,1444,39,45,4,combine,lda,top29
10,0.49907,0.002,0.55316,0.68077,0.55316,0.54185,-9.14689,1816,1360,41,43,4,combine,lda,top29
11,0.49924,0.00599,0.54579,0.67705,0.54579,0.50579,-9.14698,1776,1400,46,38,4,combine,lda,top29
12,0.49914,0.02595,0.53185,0.70962,0.53185,0.48756,-9.85768,1698,1478,47,37,4,combine,lda,top29
13,0.50101,0.03393,0.5293,0.70481,0.5293,0.52122,-9.78134,1685,1491,41,43,4,combine,lda,top29
14,0.50059,0.14172,0.51928,0.70402,0.51928,0.52264,-9.67419,1694,1482,41,43,4,combine,lda,top29
15,0.50009,0.42116,0.5033,0.68015,0.5033,0.49102,-9.20983,1720,1456,47,37,4,combine,lda,top29
16,0.50059,0.00599,0.54704,0.69894,0.54704,0.55542,-9.31944,1751,1425,37,47,4,combine,lda,top29
17,0.49989,0.01796,0.53637,0.66009,0.53637,0.52934,-8.91824,1850,1326,44,40,4,combine,lda,top29
18,0.49978,0.10778,0.52028,0.69857,0.52028,0.53083,-9.5283,1746,1430,41,43,4,combine,lda,top29
19,0.49988,0.51497,0.49831,0.68252,0.49831,0.48069,-9.37133,1730,1446,49,35,4,combine,lda,top29
0,0.49891,0.002,0.5615,0.63495,0.5615,0.57161,-8.90497,1833,1344,36,47,0,m,lrc,top29
1,0.50039,0.00998,0.54279,0.66584,0.54279,0.54126,-9.2038,1755,1422,39,44,0,m,lrc,top29
2,0.49974,0.002,0.57136,0.64256,0.57137,0.54551,-9.10056,1782,1395,39,44,0,m,lrc,top29
3,0.50067,0.002,0.55513,0.65255,0.55512,0.58836,-9.13071,1748,1429,31,52,0,m,lrc,top29
4,0.50013,0.08982,0.52374,0.66076,0.52374,0.52591,-9.2305,1734,1443,41,42,0,m,lrc,top29
5,0.49778,0.00399,0.54649,0.66499,0.54648,0.55434,-9.305,1685,1492,35,48,0,m,lrc,top29
6,0.49997,0.002,0.54683,0.67467,0.54683,0.543,-9.24722,1766,1411,39,44,0,m,lrc,top29
7,0.50043,0.00599,0.53889,0.64986,0.5389,0.55718,-9.34008,1703,1474,35,48,0,m,lrc,top29
8,0.49948,0.00998,0.53513,0.63643,0.53513,0.55851,-9.03219,1788,1389,37,46,0,m,lrc,top29
9,0.49953,0.002,0.57573,0.68397,0.57573,0.56561,-9.62171,1680,1497,33,50,0,m,lrc,top29
10,0.50158,0.002,0.56816,0.6521,0.56816,0.56682,-9.21987,1726,1451,34,49,0,m,lrc,top29
11,0.50077,0.00798,0.54171,0.64497,0.54171,0.53115,-9.10312,1729,1448,40,43,0,m,lrc,top29
12,0.49947,0.002,0.56873,0.67695,0.56873,0.57098,-9.20738,1829,1348,36,47,0,m,lrc,top29
13,0.50032,0.00399,0.54001,0.64566,0.54001,0.53016,-9.23112,1761,1416,41,42,0,m,lrc,top29
14,0.49961,0.01198,0.53855,0.65753,0.53855,0.54855,-9.23362,1763,1414,38,45,0,m,lrc,top29
15,0.5002,0.002,0.56473,0.61586,0.56473,0.52625,-8.79528,1851,1326,44,39,0,m,lrc,top29
16,0.49992,0.002,0.55036,0.62101,0.55036,0.55039,-8.88151,1813,1364,39,44,0,m,lrc,top29
